10
5 4 
3 1 8 
4 2 7
0 3 6
3 4 9
4 6
0 1 3
0 2 1
0 3 2
1 2 5
1 3 2
2 3 4
5 6
0 1 6
1 2 5
2 3 4
0 3 1
0 2 2
2 4 3
2 1
0 1 4
7 13
1 0 1670
0 2 6772
0 5 539
4 3 3660
0 3 1803
6 1 5180
0 4 313
6 5 819
3 1 593
6 0 939
3 2 2704
5 1 2149
1 4 569
15 74
3 7 933
9 2 1595
8 3 3916
1 10 2072
0 8 2663
2 4 6112
0 7 117
4 10 2275
4 1 3541
11 10 1106
11 6 913
11 5 1869
9 5 2892
6 13 3821
9 8 2643
6 2 395
13 4 2539
6 1 4542
4 6 959
0 6 2195
12 9 4846
3 6 1555
9 14 2119
7 10 4523
4 14 5119
7 2 4584
14 1 291
1 8 279
12 7 2077
3 1 649
5 7 2349
1 9 2383
8 6 153
9 4 3481
2 1 3805
13 7 84
14 6 2391
9 13 387
13 3 760
1 5 1897
12 1 2963
11 1 1061
10 9 5438
11 14 763
0 9 2485
12 2 1072
12 5 4230
9 7 5543
4 7 2098
2 10 1467
7 11 916
0 12 239
0 1 3661
11 13 1323
14 2 4959
4 12 1614
10 13 377
10 5 123
13 2 1515
3 2 1233
8 4 2452
0 11 600
9 11 988
9 3 2353
0 14 1212
2 11 439
12 3 2514
8 14 1083
12 6 2971
13 0 4233
5 13 653
3 14 497
9 6 3139
10 12 848
19 93
16 7 2380
9 16 196
8 16 1037
15 0 520
2 9 85
18 7 2383
6 7 2014
15 16 526
18 1 2206
15 11 3497
13 12 2084
12 6 1604
15 9 3687
6 1 4843
1 17 1455
11 7 7397
7 10 491
2 17 6960
14 12 863
10 17 2379
6 9 891
6 14 178
6 2 1382
14 11 924
11 6 500
17 3 747
14 3 2116
11 9 914
13 7 3113
11 10 2056
1 15 1219
9 4 3350
3 13 618
13 6 4070
4 8 446
1 0 4399
14 0 9
11 12 1024
7 14 1680
2 5 1876
0 16 4513
6 18 128
4 15 426
13 14 733
1 12 4632
3 12 1433
1 4 1894
11 0 2713
6 15 4260
12 8 4511
5 4 1785
0 17 4383
6 5 655
10 8 444
12 9 330
5 7 213
13 15 864
7 8 752
5 11 2151
3 11 1956
7 3 1872
3 18 1543
3 8 3315
17 5 5364
8 9 921
8 5 2441
14 4 1207
0 12 3031
3 5 1732
1 8 1837
3 2 2637
12 7 90
2 0 3054
7 17 491
17 6 20
13 17 449
0 13 5705
8 14 778
2 16 131
7 1 3906
14 5 326
2 13 915
13 8 60
17 9 768
0 8 304
2 15 5186
5 15 239
6 10 2939
5 18 860
2 14 989
10 13 2142
15 7 2186
15 8 4141
9 28
2 3 1034
7 5 2125
3 1 641
0 1 1586
4 3 2550
5 3 2736
0 4 399
8 1 4988
4 2 1216
1 7 4964
6 2 383
5 2 5563
0 3 1258
5 0 415
2 1 2267
5 4 2118
6 7 802
0 6 1903
7 3 2656
3 8 9
2 8 1629
5 8 1706
6 5 453
0 8 4650
0 7 3752
8 6 3056
7 2 841
2 0 363
17 81
1 15 1711
3 11 3102
7 16 3105
8 12 606
13 1 2677
0 13 457
2 1 2118
8 0 3712
1 9 1478
4 15 7120
13 6 97
13 4 1952
2 0 2390
4 12 1365
0 16 3132
5 13 883
1 0 848
3 0 4264
12 7 667
4 14 2672
12 3 609
5 14 2202
14 6 735
8 1 2157
3 15 2171
2 4 2400
13 8 4709
13 3 384
2 16 1957
13 12 4871
2 15 1524
3 16 1266
3 7 6582
8 7 375
12 10 3961
10 6 1331
3 14 1109
2 3 2801
3 9 2650
14 13 1101
14 0 3178
15 14 340
7 0 1389
13 10 2907
4 3 1455
11 2 1845
10 7 1689
8 2 1627
8 16 3101
9 8 627
12 15 1003
16 9 2811
10 9 1818
8 4 1905
2 9 2804
5 9 430
2 13 1260
11 6 1069
1 16 1626
2 6 4258
7 4 7487
11 16 472
11 4 62
1 14 1241
14 2 692
8 14 2653
11 8 2321
12 2 787
7 14 1935
16 4 520
11 14 3374
5 10 3565
3 5 247
15 9 797
6 4 746
7 5 1222
6 0 863
12 9 2680
5 4 2592
2 10 1275
12 1 1156
7 18
3 6 3048
1 2 1656
6 4 1257
0 2 4138
1 6 1526
1 4 2837
2 6 1
5 0 915
6 5 1353
6 0 5274
3 0 1117
5 2 386
0 1 4225
2 4 168
3 2 1596
1 5 1947
1 3 1139
3 5 388
11 54
0 1 912
7 8 885
4 2 4976
1 5 5263
9 5 2195
1 4 5949
0 6 1901
7 9 3427
0 9 703
0 2 3598
8 6 76
8 0 167
6 4 818
9 4 532
5 3 977
8 2 1641
3 4 743
7 3 5944
9 3 543
9 1 447
9 8 1333
0 3 806
6 7 252
6 1 3199
10 2 2115
10 3 2642
7 5 1448
6 9 2521
7 0 711
10 0 619
1 3 2693
1 8 4155
2 9 1941
3 6 2775
0 4 5802
4 5 403
10 1 1338
4 7 479
3 2 366
5 8 1674
10 9 5923
2 5 2334
4 8 337
10 7 1308
6 2 3091
7 1 2457
2 1 3695
3 8 1133
5 0 7005
6 10 373
4 10 4795
6 5 1131
7 2 4307
10 8 1292
